name,rating,review_count,maps_url,distance_km
Bistrot du Théâtre,4.2,1009,https://maps.google.com/?cid=6496611888781402011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.85
Café Marion,4.3,1050,https://maps.google.com/?cid=11629641666127405974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.98
Restaurant La Clairière,4.7,163,https://maps.google.com/?cid=6959205352713753452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.25
UCPA - Club Le Village Montigny,4.3,318,https://maps.google.com/?cid=9732108951365899920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.03
TotalEnergies - Access LIMOURS,4.0,508,https://maps.google.com/?cid=8834198240825595830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.65
UGC,4.0,4553,https://maps.google.com/?cid=4827495686679570626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.88
Restaurant Mwakatshong Family,4.6,378,https://maps.google.com/?cid=9505886136634346354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.81
Speed Park St Quentin En Yvelines,4.0,716,https://maps.google.com/?cid=2735912272627905097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.94
O'Meeting,4.2,169,https://maps.google.com/?cid=2472421788177330088&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.7
Délice Vélizy,4.6,94,https://maps.google.com/?cid=11281159166771534306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.01
La Petite Maison,4.7,536,https://maps.google.com/?cid=14004957510362708882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.35
Le Manga,4.4,497,https://maps.google.com/?cid=16719748642662512100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.36
Hôtel Auberge du Manet,4.1,657,https://maps.google.com/?cid=3647491481708719006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.15
Food Asia « Saclay 91 »,4.0,245,https://maps.google.com/?cid=9178121452493724249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.18
19 Restaurant - Bar,4.6,413,https://maps.google.com/?cid=5720302821588649134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.22
Up To You SQY - Bar Pub Restaurant,4.1,1446,https://maps.google.com/?cid=8406987940663343313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.64
ANAMOUR LES ULIS,4.4,469,https://maps.google.com/?cid=12201968890613620170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.12
Le Jardin Du Clos,4.1,196,https://maps.google.com/?cid=6250115614561590294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.6
